PRODUCT NAME        Price       Date
Laptop              12000       24-05-2026
PowerBank           1000        22-05-2026
Mobile              9000        23-05-2026
Earbuds             800         21-05-2026
Bottle              250         23-05-2026
Monitor             15000       25-05-2026
Adapter             1200        29-05-2026
Charger             450         30-05-2026
Micropone           5000        12-06-2026
Mouse               500         19-05-2026
KeyBoard            300         19-05-2027
